ID,x,y,z
83,-411.15,-3629.27,-2358.54
84,2808.44,-3392.84,3695.66
85,1823.37,546.14,-2609.39
86,1883.83,-1403.14,5354.67
87,1451.84,-625.39,-3347.89
88,1981.08,-3594.81,-564.42
89,2921.57,-742.91,-4534.12
90,2010.78,-4238.81,2411.52
91,2174.68,1248.11,2382.93
92,-3519.07,2037.47,590.73
93,-1217.52,-5152.62,-778.46
94,3746.34,-1221.81,-3850.12
95,-1057.51,1493.37,52.91
96,-1771.85,-3951.71,-464.01
97,-3376.6,-4117.67,-2420.24
98,153.23,-3746.52,-1207.7
99,-2334.43,5014.81,1455.31
100,-1584.37,-3673.02,-1762.28
101,-26.68,1148.91,520.89
102,-5844.58,735.71,113.56
103,5293.31,2095.35,-984.23
104,3391.22,2374.68,4029.5
105,3959.6,1610.27,1071.03
106,-2638.85,-180.8,630.59
107,-319.91,-1215.14,3199.42
108,840.42,-752.05,292.88
109,-1083.51,1358.42,-4332.93
110,58.37,59.55,-4218.38
111,2150.56,-2893.9,-1467.19
112,-644.07,-2153.59,-1102.06
113,-3034.91,-691.03,4313.69
114,-4162.14,1630.0,-93.91
115,-3350.13,-3239.07,-2971.91
116,4347.92,-1940.25,1841.83
117,28.15,2432.57,-2475.26
118,-3782.6,3830.51,1247.97
119,4465.77,-3203.65,806.89
120,-1262.12,694.75,38.21
121,1460.91,-3110.08,1350.87
122,292.59,-186.26,-1612.02
123,2372.26,-419.19,4447.32
124,1242.75,-3302.01,-4572.98
125,5280.94,2363.18,404.34
126,-627.89,1512.92,2674.32
127,1977.39,-3950.83,3864.88
128,-4115.71,-2127.83,3422.65
129,2327.18,-2167.83,4923.82
130,-5144.55,-2398.62,-155.34
131,-3320.85,4201.49,-2179.91
132,3391.9,2171.61,518.36
133,3493.9,-2075.3,-1951.85
134,4393.76,-3581.51,1375.6
135,2840.85,-3014.15,2312.59
136,847.72,1478.15,-3171.23
137,943.27,-1030.3,1679.36
138,-1481.32,419.32,5294.02
139,1329.48,2108.4,3060.43
140,-5369.86,2199.66,-646.95
141,347.88,-4827.48,2807.81
142,-1747.03,480.38,5153.59
143,2170.74,4071.09,-238.79
144,1864.28,2713.23,-163.17
145,-191.08,1312.77,-3257.05
146,673.11,4370.68,3600.22
147,4434.33,84.99,-2864.92
148,1010.03,-1110.66,-5600.31
149,-21.45,5565.94,-2215.14
150,-1744.66,-1499.13,4549.79
151,2126.87,-1549.14,-412.33
152,412.42,-1813.76,956.97
153,-1622.09,2655.34,1954.31
154,-1962.07,2755.37,4936.98
155,-1270.74,5304.53,-1213.01
156,1279.62,-3264.07,394.08
157,-2119.25,-248.71,5295.43
158,-4020.49,2707.09,49.54
159,-2504.21,-999.98,1599.3
160,5118.12,-296.22,2130.08
161,-3804.56,-1074.18,3956.43
162,-568.93,3045.79,3130.74
163,1564.23,311.19,3678.93
164,-1128.85,-2983.88,-1976.14
165,637.52,3457.11,3848.27
166,5172.04,2798.32,-924.7
167,-273.82,2780.9,4750.33
168,2786.79,261.9,1716.56
169,4257.58,3426.44,1124.51
170,-3559.46,-2267.46,2151.25
171,-1702.61,949.98,-5492.48
172,5158.08,-312.5,-1512.19
173,237.13,1214.09,-5814.39
174,-2858.46,-4937.32,123.0
175,2978.47,4447.43,2080.14
176,-2174.22,-2277.49,3214.29
177,460.43,-2563.39,4581.1
178,-355.92,-821.76,-657.36
179,-3043.7,2584.91,4206.1
180,-1098.9,-3300.81,1481.19
181,-691.2,3366.11,-183.58
182,1680.72,-765.57,-3229.46
183,5628.45,527.54,504.21
184,-1939.88,3214.93,2683.57
185,-1807.8,-3240.76,-232.59
186,4576.59,876.16,1161.12
187,5210.17,1830.88,-361.66
188,-932.84,334.84,-5250.17
189,-1297.78,-106.63,-3744.79
190,1081.87,575.85,4946.99
191,946.61,-905.23,-1744.35
192,-94.69,-4992.67,1815.89
193,-1645.25,-2974.73,3737.23
194,-2339.12,180.22,-2015.63
195,5047.9,1835.82,-1195.05
196,2065.66,-700.56,295.58
197,1458.8,1871.79,-3501.09
198,167.44,3424.87,3434.08
199,-419.08,979.76,906.61
200,1951.91,270.22,2836.88
201,3129.53,684.38,2536.5
202,-3999.87,1317.31,-892.28
203,-658.45,-1041.19,-2620.5
204,1426.26,591.47,969.79
205,-3914.61,1968.92,-872.22
206,-1875.35,1237.26,776.26
207,-2675.36,1059.93,-975.51
208,3001.42,337.93,-4658.77
209,-857.83,1384.6,-5581.47
210,-1450.11,4814.32,2893.96
211,396.48,546.98,3636.56
212,-3295.93,192.92,-561.95
213,2992.51,2234.1,2027.34
214,-2992.99,1503.26,4933.98
215,-99.46,-5304.03,1376.0
216,-1391.94,2984.54,4504.9
217,-1977.33,-2089.93,-2895.11
218,-793.67,4161.5,3845.05
219,-189.17,-416.77,-3662.37
220,-2834.42,4430.98,36.29
221,997.5,-301.31,4531.05
222,-498.78,968.31,-5183.55
223,-804.37,-177.03,1181.14
224,3196.89,-2976.33,2039.14
225,4123.79,-3022.01,2363.55
226,-4087.03,-3730.15,1971.64
227,2685.93,-352.11,3835.09
228,2526.72,-2669.03,304.72
229,658.45,2679.28,3114.46
230,2648.29,-3423.35,-3994.96
231,129.0,1547.2,-1525.62
232,-1102.26,3320.35,4121.88
233,-1340.3,3017.29,379.79
234,-2810.45,1523.71,3338.47
235,1513.26,-4369.33,2798.21
236,-5431.78,1592.12,741.3
237,-2326.53,3532.62,513.68
238,954.87,-193.82,2596.64
239,-2753.18,1429.25,-3390.93
240,1054.22,1349.84,3457.65
241,-2437.2,-2251.53,3490.7
242,497.29,3527.33,598.54
243,-3986.07,1569.04,3420.93
244,-2660.78,2751.3,2904.89
245,-1898.1,-3371.59,-4318.13
246,2762.27,3170.2,-906.43
247,-292.46,833.3,5443.64
248,825.95,2444.52,4816.89
249,-780.79,-2942.63,-366.29
250,1708.78,-117.36,-2371.69
251,1874.57,-730.92,-4627.62
252,637.86,-2120.51,3509.85
253,-753.99,3175.93,-85.65
254,-217.15,-5693.36,-1299.82
255,931.12,-3208.67,-1411.34
256,2716.62,-2735.26,-2598.97
257,-1341.37,-491.46,5149.86
258,-3556.84,1029.36,-1914.74
259,-229.36,-823.29,-39.73
260,-1157.88,-684.96,1772.87
261,196.64,2260.56,-4345.36
262,-1269.37,-4073.18,-1790.24
263,3962.22,869.8,135.88
264,4466.35,2204.13,-2639.4
265,469.55,3553.1,-1803.9
266,-3962.87,-1030.46,232.5
267,3352.43,-925.93,1008.89
268,-3601.17,-2003.8,2761.49
269,5264.51,-1676.1,783.68
270,1364.85,-4426.45,534.86
271,-3993.08,3978.87,-418.22
272,2360.62,-4028.0,-3048.45
273,1052.13,-4242.81,50.52
274,-2532.51,867.86,543.19
275,3361.88,-1756.31,2072.4
276,-1238.65,4763.92,183.87
277,2735.41,2514.12,2107.65
278,-1990.69,-1918.43,-3402.35
279,-2685.45,-1779.17,-3946.57
280,-3385.92,2602.3,-561.06
281,114.9,-1982.24,-1036.37
282,989.96,3391.59,-2323.04
283,1028.12,247.4,-1006.31
284,-2415.64,-840.05,-2251.83
285,410.97,4313.46,-592.91
286,-1957.66,2998.9,1823.6
287,3699.83,2657.44,-2755.69
288,-1391.93,3772.77,3821.66
289,-110.97,-1624.83,-64.34
290,-129.0,-1566.67,-5465.89
291,-4841.14,-2536.73,841.78
292,-1726.92,983.27,-4643.54
293,-480.91,1832.82,-108.64
294,3146.92,-479.0,3058.54
295,4642.51,1303.97,2569.21
296,3820.65,-2848.42,3162.02
297,-279.34,664.19,-5468.85
298,2693.93,-2408.6,-2836.42
299,942.1,-3915.61,-275.44
300,-1275.73,-2878.63,-1874.58
301,4389.57,1957.97,535.66
302,3414.36,3372.75,-1617.82
303,2954.8,1985.43,-3362.21
304,-1773.36,3449.9,-3372.3
305,3802.85,-2123.76,2250.33
306,-256.99,1885.67,1497.61
307,2436.64,3124.99,-1114.62
308,-1513.4,3071.34,2295.99
309,2698.8,-3492.86,362.22
310,3817.01,-3229.29,-450.91
311,4842.17,-959.67,-2411.46
312,-703.36,-16.98,2784.03
313,-2588.52,-2612.08,-1298.28
314,-3571.86,-632.47,2307.4
315,-3195.0,-1106.41,3996.02
316,4269.81,-1169.02,-900.9
317,-96.17,1626.03,4760.02
318,2095.9,-3005.6,1577.87
319,-2022.19,-2368.27,-4509.64
320,-4611.99,881.57,1797.27
321,2594.03,4893.31,824.99
322,2471.14,-1521.27,3747.73
323,3940.06,2948.05,1912.03
324,-4605.34,-2926.76,2387.07
325,-1615.1,223.26,2992.18
326,1141.06,4888.54,2477.24
327,-1095.54,-1300.65,5128.39
328,93.73,-1697.03,-5670.85
329,-2578.74,648.07,5096.59
330,2412.19,4095.01,1030.02
331,5314.0,-676.92,1010.88
332,-5286.21,-1120.8,1571.2
333,-2838.67,-3768.5,-1622.68
334,-1.18,581.6,5103.8
335,117.38,-5490.67,-1001.95
336,2908.46,3945.9,-625.61
337,-2458.36,-151.65,-2462.41
338,-2532.19,-4461.24,-329.76
339,2734.82,-958.48,-2197.26
340,897.97,-428.1,-3251.18
341,534.36,363.3,-3768.41
342,-2361.35,-1958.01,-3081.49
343,-2952.08,2716.08,-181.05
344,1210.91,-3675.47,1608.5
345,4027.68,-620.9,-1827.77
346,-2770.45,-980.11,-2220.99
347,391.04,2599.97,-2884.45
348,-744.79,-2078.61,1349.08
349,-1704.94,-1104.79,-765.92
350,1056.79,5286.35,-1248.53
351,-632.93,1299.22,-2402.09
352,-941.54,-3802.86,4183.72
353,-2513.26,1105.04,-3021.01
354,3103.5,-4056.29,915.82
355,-1878.39,546.19,-5484.56
356,422.58,-3338.99,-1079.45
357,-4504.23,1704.35,357.95
358,3660.25,1382.14,2354.8
359,-373.54,3761.86,3354.4
360,2322.96,3356.1,2978.89
361,113.3,-5354.89,2279.16
362,1656.52,2286.71,3670.28
363,280.86,2092.01,5160.46
364,-3601.06,-573.49,2187.15
365,2631.71,1680.78,3418.62
366,-841.28,-3289.3,-2741.12
367,-1064.4,-1777.59,-2402.86
368,-1242.08,-60.4,-792.29
369,-2499.17,2377.67,2007.06
370,-2542.52,2778.86,-2590.2
371,-4439.7,-532.76,380.3
372,-1641.52,-4988.16,-1025.69
373,-559.32,-3244.84,-1258.9
374,-1630.86,-930.06,5113.06
375,-2980.07,-2296.15,-4297.17
376,2177.41,2979.41,3224.79
377,2812.55,-3845.25,253.98
378,465.5,-2616.76,424.48
379,-178.21,-3209.61,-2313.1
380,-4566.72,93.42,1111.75
381,-3945.89,-2378.08,-3045.07
382,-5018.36,1340.54,-1619.51
383,3400.67,-3035.9,3223.63
384,2514.11,713.03,3743.15
385,-2589.01,2657.15,-192.45
386,-2743.3,-3611.83,3681.38
387,3576.59,580.56,3276.31
388,-1556.07,-2049.56,4750.92
389,2021.32,-2406.95,3629.37
390,431.21,2992.87,3245.93
391,1851.0,-222.17,654.55
392,2315.83,3263.3,-697.58
393,-1983.27,3855.4,1159.17
394,984.82,3865.63,847.64
395,3269.31,942.38,-3783.07
396,-1372.87,192.58,-5553.12
397,-2683.85,3243.62,-371.89
398,-330.35,4641.79,-2041.84
399,-5418.68,-254.92,-2529.82
400,3300.51,1503.77,-488.38
401,113.08,974.65,-4949.11
402,2372.45,-1821.31,-2494.97
403,-580.8,-3439.52,-2449.25
404,-3693.21,-4270.64,-1086.64
405,-1805.69,-4386.92,483.95
406,-3512.28,-2527.99,638.63
407,-3401.35,-1696.06,198.18
408,2461.74,-852.94,-2396.66
409,434.8,-4843.41,-1850.7
410,-4465.35,205.37,1871.27
411,-1604.51,2702.1,-2762.69
412,390.37,-1216.57,-2030.38
413,-5095.53,-2746.73,911.13
414,296.43,1548.15,3486.83
415,1877.76,-3773.93,-248.27
416,-3825.33,475.68,-1417.17
417,2230.55,-190.29,-433.72
418,-502.88,1312.92,-1461.03
419,4396.93,3810.17,-1343.24
420,-3975.27,-2734.6,-313.23
421,3285.68,3018.59,1573.32
422,437.5,1734.51,4455.29
423,5499.98,1436.45,1609.79
424,2884.59,-1601.6,-2045.77
425,-2599.04,-3008.62,2637.86
426,-4394.5,-423.1,2492.1
427,-1457.84,3414.69,-412.12
428,4936.07,-2977.31,-146.55
429,-1159.77,-2323.62,1366.37
430,8.4,4539.55,3571.23
431,3666.8,-2637.76,-3085.15
432,-4738.88,163.82,3478.55
433,333.45,-3841.9,159.15
434,416.47,-4115.7,3959.39
435,512.84,-468.92,-254.06
436,2735.31,1876.2,-528.71
437,231.92,3156.67,5062.09
438,1913.31,-713.29,3392.54
439,2087.75,2603.25,-2302.74
440,3082.25,1774.89,4380.77
441,-3047.76,2529.51,962.45
442,2592.89,-61.97,2617.43
443,-2267.34,-2836.87,2247.62
444,4828.13,608.11,-1554.68
445,-1469.64,-5019.11,362.9
446,4150.86,-3134.13,-236.33
447,-83.82,3441.67,366.33
448,2127.37,4326.62,-1659.3
449,592.18,4838.9,-1697.77
450,824.52,1319.0,-1973.36
451,-935.22,636.62,-125.12
452,2124.33,81.21,5174.32
453,-2253.47,-4663.6,2476.17
454,1379.12,2449.14,-3029.6
455,3221.39,-2142.68,-3994.24
456,-870.47,-4300.6,722.14
457,468.72,3849.83,1727.29
458,-686.18,4392.28,-2911.94
459,3893.0,-3416.94,2652.17
460,1284.9,-2842.33,1971.93
461,2263.34,2931.98,3369.0
462,1586.11,3171.01,2260.99
463,4097.16,1083.67,1009.32
464,-3577.46,2288.99,-3317.83
465,3244.41,-3783.12,-3128.69
466,1738.98,-3454.73,4572.23
467,3178.28,2824.13,2449.42
468,-185.35,-2842.16,1483.27
469,-1581.53,2465.6,4346.95
470,3081.59,-1349.57,-494.88
471,-2669.56,1939.67,4250.18
472,1391.34,2128.28,167.41
473,-41.12,-2260.24,-2290.8
474,685.47,3512.65,4299.83
475,5047.71,1008.6,1891.56
476,1661.92,1143.69,-2653.62
477,-23.75,4467.9,1438.24
478,3662.61,2220.5,1675.59
479,4877.74,2044.18,-291.43
480,2800.91,-642.91,-5092.08
481,1068.36,-4307.09,1022.09
482,1008.88,4630.8,-2899.93
483,1396.19,-1897.35,-2608.85
484,605.1,-4687.0,-3495.61
485,-4179.84,2258.58,281.14
486,2246.84,-4517.63,2563.51
487,2953.92,-1587.95,-4757.58
488,-3898.23,3206.32,868.92
489,2947.25,-2211.03,356.34
490,2902.38,3992.68,474.61
491,305.85,-4762.16,3551.89
492,949.32,-63.55,-3610.52
493,4653.08,-979.69,2252.18
494,4660.71,-890.25,210.8
495,-236.58,4108.52,-2980.98
496,1595.69,-1439.31,2480.5
497,-217.06,-3342.92,-1931.42
498,4117.19,2397.7,-2607.26
499,3701.96,-4217.86,1318.21
500,805.75,-356.83,-2288.03
501,686.61,-2686.24,4540.53
502,7.67,5135.73,-1834.04
503,-927.37,-136.89,248.54
504,2736.17,-2721.89,-3612.85
505,1651.61,5414.65,336.67
506,1075.95,4171.88,-2749.31
507,1148.31,-1881.94,2860.22
508,-4554.65,-543.74,555.8
509,-4155.35,2407.59,1830.85
510,-1725.43,1873.62,4917.06
511,-2416.53,1833.99,3399.55
512,3082.62,-1803.39,-3959.91
513,303.31,-332.23,-3374.86
514,2813.15,-220.99,254.8
515,3249.9,1167.91,-591.75
516,3843.61,2.55,4306.58
517,-3562.72,1720.72,2290.38
518,-311.93,3874.48,-3070.75
519,3269.13,3963.89,2506.76
520,-3683.62,2492.96,-910.59
521,-1057.65,-186.94,-3616.74
522,-3229.53,3501.9,-3057.43
523,-366.85,-3663.47,3212.77
524,74.3,1668.41,5133.6
525,1724.89,958.55,-3220.8
526,-1526.64,4328.21,-338.78
527,-863.48,-3708.82,2636.7
528,551.38,3905.42,-61.23
529,1086.03,790.07,5163.83
530,1004.27,-623.79,-1215.05
531,3235.01,1761.67,-1387.43
532,-81.79,3973.37,-107.91
533,-3538.49,691.99,-1300.96
534,-1813.21,-2190.19,-2532.44
535,1452.37,395.04,-1610.93
536,1372.95,1834.32,2753.04
537,2568.81,2986.59,4300.44
538,127.38,2101.56,3668.78
539,3031.46,-1947.71,3140.16
540,-3537.77,-2259.94,1017.82
541,5201.13,764.18,701.94
542,3557.23,-352.68,-3033.56
543,-2604.68,-2334.34,766.94
544,1254.18,674.92,-5159.04
545,-847.87,1971.44,2526.91
546,-4026.98,636.71,955.09
547,5134.07,1815.97,1486.32
548,-5764.79,-764.47,-1312.14
549,5069.48,1251.33,2688.06
550,-4707.68,2463.94,606.89
551,-420.96,-5911.78,596.67
552,-945.73,1939.79,1225.17
553,-1629.65,2571.93,4974.27
554,-678.64,3603.69,-962.47
555,-357.53,859.97,-1870.0
556,-2157.85,-3866.71,678.48
557,3150.0,3976.92,-318.57
558,4253.18,-1638.01,352.29
559,1908.27,5346.89,555.78
560,-5268.86,-706.51,-283.27
561,-1368.98,273.45,1783.87
562,2957.21,-1249.69,-325.57
563,2501.52,-3329.84,643.54
564,-362.41,3189.29,1675.99
565,2360.78,-4003.73,-1132.79
566,1979.17,3176.1,-2702.2
567,5434.61,-564.42,1540.45
568,-17.41,-741.92,3830.39
569,-2221.43,-5318.85,-587.6
570,1970.73,3558.18,-4098.25
571,3558.24,-729.62,2870.71
572,-2635.35,-1542.64,-2722.12
573,-4523.27,1910.22,-255.72
574,2554.65,3980.97,-558.5
575,488.9,-3636.01,-2680.67
576,-5474.29,1570.07,1319.51
577,-3988.65,-2510.6,2366.25
578,1610.41,2233.29,-3839.49
579,4470.75,2021.04,-2589.98
580,208.57,1655.51,2263.77
581,690.89,-983.87,1491.8
582,1068.41,2688.12,-3384.88
583,-568.99,1167.35,5385.01
584,3252.11,-4311.78,-1970.5
585,3279.27,-3593.7,868.44
586,-3506.21,-361.54,2163.13
587,-4555.06,293.18,-2910.11
588,981.59,2549.95,-2306.3
589,-305.39,-2244.07,2036.04
590,-1462.01,-1742.01,2125.23
591,4291.6,-1303.39,2921.14
592,5188.07,-128.96,-2345.16
593,626.99,-2066.42,527.03
594,2414.58,716.1,2670.68
595,-716.95,-730.3,-5827.32
596,772.75,2659.91,360.5
597,-1630.62,-4884.92,2256.16
598,991.96,3340.62,-3937.5
599,-396.42,-2447.18,-2415.43
600,-2608.98,1699.72,4501.61
601,3785.07,2188.27,1339.97
602,1301.4,-2876.6,-4332.77
603,1566.53,3617.53,-1340.66
604,709.22,-1969.11,988.41
605,3567.05,-3834.93,1012.39
606,-3561.46,-4519.57,204.84
607,1068.84,1158.93,3869.53
608,-2467.97,-1784.6,-3152.35
609,-951.63,-14.24,5694.32
610,-3168.71,341.91,-847.6
611,-3303.83,3918.11,860.29
612,-1293.97,-2127.36,-2483.88
613,-5761.43,-876.66,939.81
614,-961.83,1822.75,4431.28
615,4041.96,339.76,1432.69
616,5151.66,1351.13,-2543.18
617,13.1,621.9,-4577.8
618,3561.52,-2873.37,3652.28
619,3988.08,1261.23,-2558.96
620,4875.49,-3058.15,-1120.92
621,-571.56,-1632.99,-5174.13
622,3119.44,-3645.97,2608.74
623,-3236.98,2847.82,2252.71
624,521.07,1470.16,4286.76
625,1119.28,-3119.13,491.3
626,-60.83,4505.93,-379.57
627,-655.15,2955.57,-4859.28
628,2395.41,5027.43,1389.54
629,2342.73,2445.77,-3591.9
630,-862.7,3438.98,-4717.76
631,1333.99,1418.73,-5355.02
632,588.9,4711.91,-2142.53
633,-3214.35,-1785.23,-4437.27
634,2560.97,-1815.86,-2882.09
635,-1455.42,4965.8,-465.19
636,-5022.11,-1889.41,-756.38
637,-2042.56,-2114.54,-4381.24
638,1170.62,1017.38,-776.75
639,-1327.03,-88.11,5638.03
640,-4163.27,2463.19,-920.09
641,-1458.34,-1644.78,4221.93
642,5158.86,2481.55,1748.1
643,3216.81,-2117.18,-1427.87
644,872.09,2727.96,-2511.0
645,-2303.06,-1364.25,-4490.74
646,1258.08,-4138.03,-3166.53
647,4557.46,-335.2,-2017.18
648,-472.53,279.98,1343.5
649,1658.82,3362.83,29.69
650,1165.8,3117.49,3711.02
651,544.36,-1007.21,-1205.11
652,230.56,2285.75,3881.61
653,1019.82,-3882.42,2567.01
654,5258.49,-324.99,2180.8
655,-2871.45,5160.75,882.9
656,335.21,917.58,-3611.46
657,-3882.89,-3027.13,2157.99
658,3690.36,-2979.19,-1366.17
659,3629.65,-2742.54,-3360.71
660,1628.79,3287.6,464.11
661,-3301.42,-3766.37,664.36
662,907.49,-3240.77,1342.54
663,-2139.14,4079.28,-867.14
664,-2954.97,-3167.33,-3804.09
665,-3453.28,1328.3,189.22
666,-1757.0,3676.75,1090.63
667,2940.4,-2798.14,3675.14
668,2126.96,3950.08,-2365.42
669,3484.6,3824.46,1636.47
670,-4400.22,-817.72,-2027.35
671,-3193.44,840.2,4984.24
672,2542.24,-2362.55,-3309.88
673,-1374.1,-2014.13,2907.19
674,2791.61,-2941.53,-943.29
675,2281.68,-3129.49,-4579.81
676,-2612.74,3150.59,539.81
677,3605.52,630.42,-2871.31
678,-831.4,-3548.81,-513.13
679,-3981.74,-1865.05,-1196.64
680,-1892.6,5571.07,281.6
681,-2204.48,-361.38,-1616.4
682,3057.62,1890.62,-1808.62
683,-2780.8,2030.85,3407.4
684,2223.27,1840.38,-4921.54
685,-699.49,-3908.63,-967.96
686,2370.55,-2309.18,3470.42
687,-3241.15,-374.8,-109.92
688,-4486.62,-1046.34,1124.4
689,-1695.86,-2019.78,2102.16
690,4181.46,-2018.74,-31.28
691,1961.76,-791.04,-3407.25
692,2293.03,-2901.96,-208.08
693,2564.25,-2944.22,2720.84
694,2957.84,531.82,2334.24
695,1996.83,-1841.21,536.41
696,-3471.22,287.88,-2253.93
697,-3912.38,877.32,2847.97
698,4005.85,-1020.73,-15.44
699,56.78,-1484.74,-5499.26
700,397.53,-5544.57,-1041.08
701,1703.47,-991.67,-5358.41
702,2264.64,-3498.08,2341.23
703,-2425.02,-3366.83,-2591.55
704,-2968.89,-4851.09,1193.37
705,-726.94,4659.96,-2106.77
706,47.77,1431.15,331.61
707,-2503.08,-4285.9,717.18
708,160.8,-2540.61,-3099.58
709,997.49,2142.19,-974.46
710,-4952.17,-530.32,642.03
711,-1854.35,-2738.31,-1225.74
712,2675.83,-2399.71,-2097.83
713,5175.42,-2290.04,-1454.08
714,-2610.58,1507.52,235.97
715,-4110.22,1911.13,-1750.66
716,-397.17,700.34,3644.94
717,2031.35,-2505.24,4826.2
718,1916.87,3382.73,-1118.0
719,2844.86,-1321.08,-5026.42
720,4876.18,-1810.2,-2890.45
721,152.45,3458.97,-4440.24
722,978.67,1766.75,-5625.88
723,-2014.88,-2905.98,-963.84
724,3531.56,4570.29,1187.65
725,-1328.99,-78.43,-714.45
726,-2578.33,-2045.42,-3759.29
727,1498.87,-2752.97,3031.73
728,-2246.52,-2376.51,1278.69
729,1265.31,42.95,4852.76
730,5533.12,-89.64,-1984.66
731,-1050.48,-1569.42,5373.18
732,1263.55,-4153.71,1391.08
733,4178.45,1679.26,2301.76
734,217.13,1027.42,-3608.97
735,369.17,-3703.71,-515.79
736,-4458.32,-400.94,2123.51
737,4235.61,1677.79,-3768.11
738,-4221.21,-768.44,-3189.06
739,1023.01,-1289.58,621.66
740,-369.48,-1010.14,-5055.36
741,-136.51,-2127.83,3297.13
742,-359.22,1561.36,-3793.71
743,-2459.63,-948.96,-1141.5
744,-941.8,-5269.78,2606.98
745,3962.78,128.96,2895.73
746,1315.47,109.36,-1947.63
747,-3742.13,-4613.33,-602.86
748,1549.02,3691.68,-1681.18
749,-2039.58,4773.26,854.61
750,2823.15,-3345.8,719.09
751,-2030.79,3465.41,-932.28
752,1410.79,3012.34,-1677.9
753,3598.82,-320.13,-1989.49
754,-424.39,-2289.88,4505.66
755,-2580.4,-2849.91,-1545.49
756,-195.16,3869.35,-412.32
757,-2213.89,-1125.35,4229.82
758,2356.0,939.49,-1193.02
759,-2003.05,-1348.76,-5349.7
760,-1362.08,1248.38,1934.77
761,-3428.23,2264.3,-80.0
762,1610.37,-1326.55,2659.8
763,-429.67,2408.09,-2460.26
764,5058.16,-1395.12,-1928.17
765,4196.81,-2430.03,-1573.29
766,1304.39,2073.24,2598.4
767,3994.88,-348.01,4392.98
768,-909.89,4387.57,3224.83
769,-4096.64,746.15,1542.99
770,-2063.34,-2980.97,-2896.06
771,-824.51,4623.45,-1755.93
772,903.62,1517.59,5571.3
773,61.2,4834.93,287.34
774,4890.1,1106.43,-2424.78
775,1894.87,-1050.03,4224.13
776,1172.92,3575.79,2504.97
777,-3729.15,1815.95,-735.84
778,-3898.58,-3233.19,2586.19
779,-5133.4,2139.08,46.41
780,1975.27,-5434.59,80.56
781,-164.64,1231.17,-710.01
782,-34.85,918.8,2789.27
783,-429.48,3288.12,2310.5
784,3150.34,1864.45,-4560.54
785,395.67,-820.15,-2693.06
786,3920.46,-4187.19,548.44
787,-2227.33,-469.32,-706.19
788,4964.4,-432.92,2690.83
789,-1670.39,-834.91,4199.07
790,3755.11,2529.63,1855.54
